species_name,latitude,longitude,location_description,depth_range,,,,
Chromis punctipinnis,NA,NA,"Monterey Bay, central California to Punta San Pablo, southern Baja California",surface-67m,,,,
Hypsypops rubicundus,NA,NA,"Monterey Bay, central California to southwest corner of Gulf of California, southern Baja California to Islas Revillagigedo and Tres Marias",intertidal to 39 m,,,,
Microspathodon bairdii,23°20’N,NA,"Los Cerritos, southern Baja California to Ecuador, including Gulf of California, Islas Galápagos, and many other offshore islands",intertidal to 20 m,,,,
Microspathodon dorsalis,NA,NA,"Bahía Magdalena, southern Baja California and central Gulf of California to Ecuador, including Islas Galápagos and many other offshore islands",intertidal to 25 m,,,,
,,,,,,,,
Stegastes acapulcoensis,26°14'N,112°31'W,"Punta Pequeña, southern Baja California to lower Gulf of California and to Islas Lobos de Afuera, Peru",intertidal to 16 m,,,,
Stegastes flavilatus,27°53'N,115°47'W,"Isla de Cedros and Rocas Chester, central Baja California to Pucusana, Peru, including Gulf of California and Islas Galápagos",intertidal to 38 m,,,,
Stegastes leucorus,NA,NA,"Santa Catalina and San Clemente Islands, southern California and Islas Coronados, northern Baja California; Isla Guadalupe and Islas San Benito; Bahía Magdalena, southern Baja California and south-western Baja California; Mazatlán, Mexico and offshore islands",0-18 m,,,,
Stegastes rectifraenum,30°28'N,116°07'W,"Isla San Martín, northern Baja California to Pucusana, Peru, including Gulf of California and Islas Revillagigedo",intertidal to 27 m,,,,
Stegastes redemptus,24°52'N,112°15'W,"Bahía Santa Maria, southern Baja California, tip of Baja California, and Islas Revillagigedo","surface, intertidal to 20 m",,,,
Bodianus diplotaenia,NA,NA,"Isla Guadalupe, Isla de Cedros and Islas San Benito, central Baja California and Bahía Magdalena, southern Baja California to Chile, including Gulf of California and Islas Galápagos","surface, 3-98 m",,,,
Bodianus pulcher,NA,NA,"Monterey Bay, central California to Cabo San Lucas, southern Baja California, including Gulf of California",intertidal to 150 m,,,,
Calotomus carolinus,NA,NA,"Indo-Pacific; western Pacific Ocean north to Yonaguni-jima Island, Japan; tip of Baja California, Islas Revillagigedo, and Islas Galápagos; Islas Marías, Mexico",1-71 m,,,,
Decodon melasma,NA,NA,"Laguna Beach, southern California; Gulf of California to Banco de Máncora, Peru, including vicinity of Cabo San Lucas, southern Baja California and Islas Galápagos",15-300 m,,,,
Halichoeres adustus,NA,NA,"Cabo San Lucas, southern Baja California and offshore islands of Mexico and central America and Islas Galápagos",0-15 m,,,,
Halichoeres californicus,NA,NA,"Salt Point, northern California to Bahía Magdalena, southern Baja California; also reported from Gulf of California",intertidal to 101 m,,,,
Halichoeres chierchiae,NA,NA,"Bahía Magdalena, southern Baja California to northern Peru, including Gulf of California and Islas Galápagos",intertidal to 70 m,,,,
Halichoeres dispilus,27°06'N,114°18'W,"Islas San Benito and Isla de Cedros, central Baja California to northern Chile, including Islas Galápagos and Gulf of California",intertidal to 76 m,,,,
Halichoeres inornatus,NA,NA,"Cabo San Lucas, southern Baja California, Islas Galápagos, Cocos, and Malpelo, and Colombia",50-150 m,,,,
Halichoeres insularis,NA,NA,"Isla Guadalupe, central Baja California; Rocas Alijos, Islas Revillagigedo; Gulf of California",5-20 m,,,,
Halichoeres melanotis,NA,NA,"Isla de Cedros and Islas San Benito, central Baja California to Colombia, including Gulf of California and Islas Galápagos",1-40 m,,,,
Halichoeres nicholsi,NA,NA,"Isla Guadalupe, central Baja California; about Punta Eugenia, central Baja California and Gulf of California to Ecuador, including vicinity of Cabo San Lucas, southern Baja California, Islas Galápagos, and other offshore islands",intertidal to 82 m,,,,
Halichoeres notospilus,26°13.8'N,112°28.6'W,"Isla de Cedros and Isla Natividad, central Baja California; Bahía San Juanico, southern Baja California into Gulf of California to Islas Lobos de Afuera, Peru and Islas Galápagos",intertidal to 10 m,,,,
Halichoeres semicinctus,NA,NA,"Monterey Breakwater, central California to Gulf of California; Isla Guadalupe, central Baja California","surface, intertidal to 79 m",,,,
Iniistius pavo,28°34'N,NA,"Punta Rosarito, central Baja California to Colombia, including south-western and central eastern Gulf of California, Islas Galápagos, and many other offshore islands",1-138 m,,,,
Nicholsina denticulata,27°53'N,115°04'W,"Santa Catalina Island, southern California; Islas San Benito and Isla de Cedros and Rocas Chester, central Baja California to Iquique, northern Chile, including Gulf of California and Islas Galápagos",1-30 m,,,,
Novaculichthys taeniourus,NA,NA,"Indo-Pacific; western Pacific Ocean north to Yonaguni-jima Island, Japan; near tip of Baja California and Gulf of California to Colombia, including many offshore islands",1-30 m,,,,
Polylepion cruentum,23°24.6'N,110°13.8'W,"Todos Santo, southern Baja California, Gulf of California as far north as at least Loreto to Costa Rica",80-305 m,,,,
Scarus compressus,NA,NA,"Southern entrance to Bahía Magdalena, southern Baja California to northern Gulf of California, and Ecuador, including Islas Galápago and other offshore islands",1-25 m,,,,
Scarus ghobban,23°24.6'N,110°13.8'W,"Rocas Alijos, southern Baja California; Todos Santos, southern Baja California into northern Gulf of California to Ecuador, including Islas Galápagos, and other offshore islands",intertidal to 150 m,,,,
Scarus perrico,NA,NA,"Bahía Almejas, southern Baja California to Islas Lobos de Afuera, Peru, including northern Gulf of California, Islas Galápagos, and Isla Malpelo",1-30 m,,,,
Scarus rubroviolaceus,NA,NA,"Cabo San Lucas and central Gulf of California to Ecuador, and Islas Galápagos",1-96 m,,,,
Stethojulis bandanensis,NA,NA,"Southern Japan; tip of Baja California, lower Gulf of California, Costa Rica, Panama, and various offshore islands","surface, intertidal to 15 m",,,,
Thalassoma grammaticum,NA,NA,"Rocas Alijos, southern Baja California; Bahía Magdalena, southern Baja California into northern Gulf of California to northern Peru, Islas Galápagos, and many other offshore islands",intertidal to 65 m,,,,
Thalassoma lucasanum,27°53'N,115°04'W,"Islas San Benito and Isla de Cedros, and Rocas Chester, central Baja California to central Peru, including Gulf of California and Islas Galápagos",intertidal to 64 m,,,,
Thalassoma virens,NA,NA,Islas Revillagigedo and Isla Clipperton to tip of Baja California and northward into the Gulf of California around the La Paz area,0-10 m,,,,
Xyrichtys mundiceps,NA,NA,"Bahía Magdalena; Cabo San Lucas, southern Baja California, and central Gulf of California to central Mexico",3-27 m,,,,
Bathymaster caeruleofasciatus,NA,NA,"Commander Islands, Russia and Aleutian Islands, Alaska to Prince Rupert, northern British Columbia",0–225 m,,,,
Bathymaster leurolepis,NA,NA,"Pacific coast of Hokkaido, Japan to Commander Islands, Aleutian Islands, and south-eastern Bering Sea off Pribilof Islands to Little Port Walter, south-eastern Alaska",intertidal to 119 m,,,,
Bathymaster signatus,61°N,178°31'W,"Pacific coast of Hokkaido, Japan, Sea of Okhotsk, and Kuril Islands to western Bering Sea and Commander Islands, and Bering Sea as far northward as Saint Matthew Island, Alaska",3-380m;,,,,
Rathbunella alleni,NA,NA,"Perhaps are far north as Barkley Sound, Vancouver Island to Bahía San Carlos, northern Baja California",2-146m;,,,,
Rathbunella hypoplecta,31°33'N,116°24'W,"Point Conception, California to Santo Tomás anchorage, northern Baja California",3-178m;,,,,
Ronquilus jordani,NA,NA,"South-eastern Bering Sea and Amchitka Island, Aleutian Islands to La Jolla, southern California",3-337m;,,,,
Bothrocara pusillum,NA,NA,Eastern Bering Sea to Oregon,55-642m;,,,,
Bothrocara brunneum,27°12'N,NA,"Sea of Okhotsk to southern Baja California, Gulf of California, and Gulf of Panama","124-2,570m;",,,,
Bothrocara hollandi,NA,NA,"Japan and Sea of Okhotsk; Pacific coast of northern, and central Japan, to the eastern Bering Sea off the Pribilof Islands","69-1,980m;",,,,
Bothrocara molle,30°47'N,116°52'W,"Southern Kamchatka Peninsula to northern Baja California, Gulf of California, Central America, and Chile","60-2,688m;",,,,
Bothrocara nyx,NA,NA,Eastern Bering Sea,"738-1,508m;",,,,
Bothrocara zestum,NA,NA,"Honshu, Japan, north to Sea of Okhotsk and east to the Gulf of Alaska and Bering Sea","199-1,620m;",,,,
Derepodichthys alepidotus,NA,NA,"Near Alaska off Dixon Entrance, northern British Columbia to Gulf of California","481-2,904m;",,,,
Eucryphycus californicus,36°55'N,122°28'W,"Ascension Canyon, central California to San Diego, southern California",60-545m;,,,,
Gymnelus hemifasciatus,NA,NA,"South-eastern Barents Sea eastward through Siberian Sea through Beaufort Sea to Dease Strait, Canada; Sea of Okhotsk, Commander Islands, east coast of Kamchatka, Bering Sea to Prince William Sound, northern Gulf of Alaska",intertidal-216m;,,,,
Gymnelus popovi,NA,NA,"Simushir Island, Kuril Islands; Commander Islands; Agattu Island, Aleutian Islands to Kodiak Island",intertidal-2m;,,,,
Gymnelus viridis,NA,NA,"Laptev Sea eastward to Greenland, southward in Atlantic to Nova Scotia, and Gulf of Saint Lawrence; in Pacific Ocean to south-western Bering Sea off Cape Afrika, eastern Aleutian Islands, and south-eastern Bering Sea",intertidal-318m;,,,,
Lycenchelys alta,NA,NA,"Buldir Island, western Aleutian Islands",336m;,,,,
Lycenchelys callista,44°24'N,125°07'W,"Central Oregon to Tanner Basin, southern California","1,200-1,830m;",,,,
Lycenchelys camchatica,NA,NA,"Sea of Okhotsk and south-eastern Kamchatka, Shirshov Ridge, and Commander Islands; Bering Sea south of Cape Navarin to near Unalaska Island to northern Baja California","about 256-2,100m;",,,,
Lycenchelys crotalinus,27°12'N,NA,"Western Bering Sea across Shirshov Ridge and Commander Plateau, eastern Bering Sea and Gulf of Alaska to central Baja California","63-2,816m;",,,,
Lycenchelys hippopotamus,NA,NA,Southern Sea of Okhotsk to western Bering Sea southwest of Cape Navarin,"160-1,800m;",,,,
Lycenchelys jordani,NA,NA,"Sitka Sound, south-eastern Alaska to Punta Colnett, northern Baja California","1,500-2,570m;",,,,
Lycenchelys kolthoffi,NA,NA,"Ungava Bay and Hudson Strait, Canada to Svalbard and Kara Sea and Alaskan and Canadian Beaufort Sea",202-930m;,,,,
Lycenchelys micropora,14°28'N,93°09'W,"Northern Bering Sea, Pacific Ocean off British Columbia to Gulf of Tehuantepec, central Mexico","1,980-3,512m;",,,,
Lycenchelys monstrosa,NA,NA,"Monterey Bay, central California to Gulf of Panama","3,100-4,188m;",,,,
Lycenchelys pearcyi,NA,NA,Northern Oregon to southern tip of Baja California,"2,663-3,051m;",,,,
Lycenchelys plicifera,NA,NA,"Western North Pacific Ocean off Paramushir Island, Bering Sea north of Near Islands, Aleutian Islands","3,820-4,070m;",,,,
Lycenchelys rassi,NA,NA,"Sea of Okhotsk off Sakhalin and Hokkaido, south-western Bering Sea at Kronotskiy Bay, south-eastern Bering Sea, Alaska north of Unalaska Island","895-1,805m;",,,,
Lycenchelys ratmanovi,NA,NA,Western Pacific Ocean off southeast Kamchatka and northern Kuril Islands; western Bering Sea southwest of Cape Navarin and off Cape Olyutorskiy; eastern Bering Sea slope south to Unalaska Island,"620–1,120 m",,Central Aleutian Islands,358-750m;,
Lycenchelys volki,NA,NA,"South-western Bering Sea northeast of Medny Island, Commander Islands","3,940m;",,,,
Lycodapus dermatinus,NA,NA,"Pacific waters of Kamchatka, Russia, Welker Seamount, Gulf of Alaska, British Columbia, northern Oregon to Gulf of California and Peru","198-1,903m;",,,,
Lycodapus endemoscotus,59°43'N,178°39'W,"Sea of Okhotsk, Bering Sea to Gulf of California, and off Peru","226-2,225m;",,,,
Lycodapus fierasfer,NA,NA,"Western Bering Sea on Shirshov Ridge, eastern Bering Sea, off Dixon Entrance, northern British Columbia to Peru","50-2,212m;",,,,
Lycodapus leptus,NA,NA,Eastern Bering Sea,328-831m;,,,,
Lycodapus mandibularis,NA,NA,"Prince William Sound, Gulf of Alaska to La Jolla Canyon, southern California","86-1,560m;",,,,
Lycodapus pachysoma,56°26'N,169°51'W,"Eastern Pacific Ocean and Southern Ocean, Bering Sea to about Davidson Seamount, central California","534-2,780m;",,,,
Lycodapus parviceps,NA,NA,"South Kuril Islands, Eastern Bering Sea to southern Oregon near Bandon","81-1,212m;",,,,
Lycodapus poecilus,NA,NA,Eastern Bering Sea continental slope,"207-1,149m;",,,,
Lycodapus psarostomatus,NA,NA,"Eastern Bering Sea, British Columbia, Monterey Bay, central California",466-670m;,,,,
Lycodes adolfi,NA,NA,Chukchi Borderland and Beaufort Sea,"274-2,150m;",,,,
Lycodes akuugun,NA,NA,Central Aleutian Islands from Samalga Pass west to Seguam Pass,121-460m;,,,,
Lycodes beringi,NA,NA,"At least from south-eastern Kamchatka Peninsula through the Bering Sea, Commander and Aleutian Islands, and Gulf of Alaska to the Strait of Georgia, and Puget Sound","76-1,091m;",,,,
Lycodes brevipes,34°34'N,NA,"Western and eastern Bering Sea, and eastern Aleutian Islands to central California",2-973m;,,,,
Lycodes cortezianus,55°30'N,134°53'W,"South-eastern Alaska to San Diego, southern California","18-1,280m;",,,,
Lycodes diapterus,NA,NA,"Pacific Ocean side of Vancouver Island to off San Diego, southern California","24-1,472m;",,,,
Lycodes eudipleurostictus,NA,NA,Beaufort Sea off Alaska and Canada,"54-1,288m;",,,,
Lycodes frigidus,NA,NA,Chukchi and Beaufort Seas,"475-3,580m;",,,,
Lycodes japonicus,NA,NA,"Sea of Japan off Honshu, one record from eastern North Pacific Ocean from Bering Sea north of Near Islands, Alaska",about 216-985m;,,,,
Lycodes jugoricus,NA,NA,"White Sea eastward to Kara, Laptev and East Siberian Seas; Beaufort Sea to Spence Bay, Boothia Peninsula, Canada",9-90m;,,,,
Lycodes marisalbi,NA,NA,"Beaufort Sea, from Mould Bay, Prince Patrick Island, to Mackenzie Bay and east to Dease Strait, Bathurst Inlet",3-335m;,,,,
Lycodes mucosus,NA,NA,"Chukchi Sea eastward to Cumberland Sound, Baffin Island, and north-western Greenland; southward to Bering Sea to Gulf of Anadyr, and south side of Saint Matthew Island",intertidal-184m;,,,,
Lycodes pacificus,NA,NA,"Aleutian Islands, and Gulf of Alaska to Ensenada, northern Baja California","7-1,036m;",,,,
Lycodes palearis,71°22'N,156°19'W,"Northern Sea of Okhotsk to Beaufort Sea, over the continental shelf in the Bering Sea, and off the Aleutian Islands to Oregon",about 2m or less to 925m;,,,,
Lycodes pallidus,NA,NA,"Beaufort Sea eastward through Canada, Greenland, to East Siberian Sea","6-1,750m;",,,,
Lycodes polaris,79°55'N,85°20'W,"Beaufort and Chukchi Seas to eastern Bering Sea between Saint Matthew Island, and Saint Lawrence Island to western Bering Sea at Glubokaya Bay",4-more than 300m;,,,,
Lycodes raridens,70°36'N,143°55'W,"Sea of Okhotsk and northern Sea of Japan; Bering Sea to East Siberian Sea, Chukchi Sea, and western Beaufort Sea, one capture north of Near Islands, western Aleutian Islands",8-525m;,,,,
Lycodes reticulatus,NA,"from 151°06'W eastward to 70°32'N, 130°50'W","Arctic Canada at Ellesmere Island eastwards to Barents, Kara, and Laptev Seas; Alaska, and Canada Beaufort Sea ",6-930m;,,,,
Lycodes rossi,NA,NA,"Greenland eastward to Laptev Sea; Beaufort Sea off Alaska eastward to Dease Strait, Canada",42-467m;,,,,
Lycodes sagittarius,NA,NA,"Beaufort Sea, Alaska, and Kara, and Laptev Seas","120-1,934m;",,,,
Lycodes seminudus,NA,NA,"Likely circumpolar, lacking documentation from the East Siberian Sea and the central Canadian Arctic; Chukchi Borderland eastward to Dease Strait, Canada","50-2,000m;",,,,
Lycodes soldatovi,NA,NA,"Seas of Okhotsk and Japan to Bering Sea, one record from Alaska","153-1,030m;",,,,
Lycodes squamiventer,NA,NA,"Arctic Ocean north of Svalbard; deep slopes of the Barents, Norwegian, and Greenland Seas southward to the Iceland-Faroe-Shetland Slope; Alaska and Canadian Beaufort Seas","160-1,808m;",,,,
Lycodes turneri,NA,NA,"Western Beaufort, and Chukchi Seas to Bristol Bay in the eastern Bering Sea to about Cape Olyutorskiy in the western Bering Sea",1-125m;,,,,
Lyconema barbatum,45°46'N,124°40'W,"Northern Oregon to between Islas San Benito and Isla de Cedros, central Baja California",45-472m;,,,,
Melanostigma pammelas,53°25'N,168°10'W,"South of Umnak-Unalaska Islands to Gulf of Tehuantepec, Mexico","91-2,012m;",,,,
Nalbantichthys elongatus,52°57'N,169°26'W,Eastern Aleutian Islands and Bering Sea near western Aleutian Islands,300-520m;,,,,
Opaeophacus acrogeneius,NA,NA,"Seguam and Umnak Islands, Aleutian Islands",500-800m;,,,,
Pachycara bulbiceps,25°27'N,71°52'W,"Haida Gwaii, northern British Columbia to Chile","2,400-4,780m;",,,,
Pachycara gymninium,NA,NA,"Haida Gwaii, northern British Columbia to vicinity of Isla Guadalupe, central Baja California; Gulf of California","1,646-3,219m;",,,,
Pachycara karenae,NA,NA,"Monterey Bay, central California","2,780-3,150m;",,,,
Pachycara lepinium,NA,NA,"Haida Gwaii, northern British Columbia to vicinity of Isla Guadalupe, central Baja California","1,646-2,970m;",,,,
Puzanovia rubra,NA,NA,"Sea of Okhotsk, Pacific Ocean off Hokkaido to northern Kuril Islands, and Shirshov Ridge, south-western Bering Sea, Cape Navarin, northern Bering Sea to Pribilof Islands, and Aleutian Islands","200-1,038m;",,,,
Taranetzella lyoderma,NA,NA,"Suruga Bay, Japan, western Bering Sea at Olyutorskiy Bay, eastern Bering Sea to off southern British Columbia to Isla Guadalupe, central Baja California","500-3,000m;",,,,
Acantholumpenus mackayi,NA,NA,"Seas of Okhotsk and Japan; Pacific coast of Hokkaido, Kuril Islands, and south-eastern Kamchatka; Canadian Beaufort Sea, eastern Chukchi Sea, eastern Bering Sea, Aleutian Islands, and Gulf of Alaska",0.6-200m;,,,,
Alectrias alectrolophus,NA,NA,"Sea of Okhotsk and northern Sea of Japan to south-eastern Kamchatka and Commander Islands; Norton Sound, Bering Sea, Alaska",intertidal-100m;,,,,
Alectridium aurantiacum,NA,NA,"Kuril Islands, Commander Islands, and Aleutian Islands",lower intertidal-56m;,,,,
Anisarchus medius,NA,NA,"Circumpolar in Arctic Ocean and southward to Sea of Okhotsk off Hokkaido, Japan to south-eastern Alaska",intertidal-300m;,,,,
Anoplarchus insignis,NA,NA,"Attu Island, Aleutian Islands to Pribilof Islands and Bristol Bay, Bering Sea, Alaska to Arena Cove, northern California",intertidal-84m;,,,,
Anoplarchus purpurescens,NA,NA,"Attu Island, Aleutian Islands and Pribilof Islands, Bering Sea to Newport Beach, southern California",intertidal-35m;,,,,
Bryozoichthys lysimus,NA,NA,"Sea of Japan off Primorskii Krai, Hokkaido, and Tatar Strait, Pacific Ocean off Hokkaido, and Sea of Okhotsk to throughout Aleutian Islands, Bering Sea north to Cape Navarin, and vicinity of Saint Matthew Island, and western Gulf of Alaska",45-490m;,,,,
Bryozoichthys marjorius,56°02'N,169°21'W,"Western Aleutian Islands to near Pribilof Islands, Bering Sea to Gulf of Alaska to La Perouse Bank, southern British Columbia",97-374m;,,,,
Cebidichthys violaceus,NA,NA,"Netarts-Cape Mears area, Oregon to Bahía San Quintin, northern Baja California",intertidal-24m;,,,,
Chirolophis decoratus,37°53'N,123°18'W,"Norton Sound, eastern Bering Sea, and Aleutian Islands, Alaska to Rittenburg Bank, central California",5-297m;,,,,
Chirolophis nugator,33°14'N,119°38'W,"Western Aleutian Islands, Alaska to San Nicolas Island, southern California",intertidal-80m;,,,,
Chirolophis snyderi,NA,NA,"Sea of Okhotsk, west coast of Sakhalin, and Pacific coast of Hokkaido, to Bering and Chukchi Seas, Aleutian Islands west to Adak Island",0–490 m,,,,
Chirolophis tarsodes,NA,NA,"Pacific Ocean south of Sanak Islands and western Gulf of Alaska at Chiniak Bay, Kodiak Island; Haida Gwaii, northern British Columbia",1–75 m,,,,
Ernogrammus walkeri,NA,NA,"Monterey Bay, central California to San Miguel Island, southern California",intertidal to 21 m,,,,
Esselenichthys carli,NA,NA,"Pacific Grove, northern California to Bahía San Quintin, northern Baja California",1–29 m,,,,
Esselenichthys laurae,NA,NA,"Farallon Islands, northern California to Punta Banda, northern Baja California.",11–46 m,,,,
Eum esogrammus praecisus,NA,NA,"East Siberian and Chukchi Seas, through North American Arctic, to western Greenland, and thence to Gulf of Maine; southward to Bering Sea (at Saint Matthew Island), with isolated population in Sea of Okhotsk",5-400m,,,,
Gymnoclinus cristulatus,NA,NA,"Hokkaido to Kuril Islands, eastern Kamchatka, Commander Islands, and western Aleutian Islands at Amchitka Island, Alaska",intertidal-40m,,,,
Kasatkia seigeli,NA,NA,"Mendocino County, northern California to Diablo Cove, central California",9-26m,,,,
Leptoclinus maculatus,NA,NA,"Circumpolar; northern Scandinavia, White Sea to Spitsbergen, Iceland, southern Greenland to Cape Cod, Massachusetts; Arctic Canada to Beaufort Sea, Alaska to Sea of Okhotsk and Tatar Strait, Sea of Japan to Puget Sound, Washington",2-773m,,,,
Lumpenella longirostris,NA,NA,"Western North Atlantic Ocean (one record from Greenland), and North Pacific Ocean; Sea of Japan and Sea of Okhotsk to Bering Sea, and Aleutian Islands, Alaska to Burrard Inlet, southern British Columbia",25-1195m,,,,
Lumpenopsis clitella,NA,NA,Collected in southern California off San Diego and Santa Catalina Island; observed from a manned submersible at a number of offshore banks in southern California,54-130m,,,,
Lumpenopsis hypochroma,NA,NA,Known with certainty only from British Columbia,30-100m,,,,
Lumpenus fabricii,NA,NA,"Barents Sea, Russia eastward across Siberia, and through the Chukchi, and Beaufort Seas to Greenland, and southward to Nova Scotia; in Pacific Ocean southward to western Bering Sea at Pavla, and Natalii Bays, and eastern Bering Sea, and eastern Aleutian Islands, and south-eastern Gulf of Alaska at Auke Bay",intertidal-146m,,,,
Lumpenus sagitta,NA,NA,"Seas of Japan and Okhotsk; Pacific Ocean off Japan, to Commander Islands, and Aleutian Islands to at least Saint Matthew Island, and Norton Sound, northern Bering Sea, to Monterey Bay, central California",intertidal-425m,,,,
Phytichthys chirus,NA,NA,"Amchitka Island, Aleutian Islands, and Gulf of Alaska coasts to southern California",intertidal-12m,,,,
Plagiogrammus hopkinsii,NA,NA,"Pacific Grove, central California to San Nicolas Island, San Miguel Island, and Santa Cruz Island, southern California",intertidal-21m,,,,
Plectobranchus evides,NA,NA,"Central British Columbia to San Diego, southern California",57-368m,,,,
Poroclinus rothrocki,"57°N, 172°W",NA,"South-eastern Bering Sea and Aleutian Islands, Alaska to San Diego, southern California",35-350m,,,,
Stichaeus punctatus,NA,NA,"East Siberian, Chukchi, and Beaufort Seas east to Greenland and Gulf of Maine, and south to Seas of Okhotsk and Japan to Skidegate Inlet, British Columbia, including Commander–Aleutian Chain",shallow subtidal-100m,,,,
Xiphister atropurpureus,30°26'N,116°07'W,"Kodiak Island, Gulf of Alaska to near Isla San Martín, northern Baja California",intertidal-27m,,,,
Xiphister mucosus,NA,NA,"Kodiak Island, western Gulf of Alaska to Santa Cruz Island, southern California",intertidal-18m,,,,
Cryptacanthodes aleutensis,NA,NA,"Central Bering Sea and eastern Aleutian Islands from Unalaska Island to Eureka, northern California",18-964m,,,,
Cryptacanthodes giganteus,NA,NA,"South-eastern Bering Sea, and eastern Aleutian Islands from Unalaska Island to Humboldt Bay, northern California",6-331m,,,,
Apodichthys flavidus,NA,NA,"Kodiak Island, Gulf of Alaska to Santa Barbara Island and on mainland to Point Loma, southern California",intertidal-11m,,,,
Apodichthys fucorum,NA,NA,"Banks Island, British Columbia to Punta Escarpada, central Baja California",intertidal-9m,,,,
Pholis clemensi,NA,NA,"One unverifiable record from Kodiak Island, Gulf of Alaska; Prince William Sound, Gulf of Alaska to Point Lobos, central California",7-64m,,,,
Pholis fasciata,NA,NA,Chukchi and Beaufort Seas eastward to Greenland; Bering Sea westward to Sea of Okhotsk and southeastward to Prince William Sound,shallow subtidal-110m,,,,
Pholis laeta,NA,NA,"South-eastern Kamchatka, Commander Islands, and Aleutian Islands, east along north side of Alaska Peninsula to Port Heiden, south-eastern Bering Sea, and Gulf of Alaska to Abalone Point, Humboldt County, northern California",intertidal-99m,,,,
Pholis schultzi,53°20'N,131°38'W,"Haida Gwaii, British Columbia to Diablo Cove, central California",intertidal-102m,,,,
Rhodymenichthys dolichogaster,NA,NA,"Seas of Japan and Okhotsk to Kuril Islands, Commander Islands, and Aleutian Islands, to Saint Lawrence Island and Norton Sound, northern Bering Sea",intertidal-148m,,,,
Ulvicola sanctaerosae,NA,NA,"Pacific Grove, central California to Punta Baja, northern Baja California, and Isla Guadalupe, central Baja California",intertidal-12m,,,,
Anarhichas denticulatus,NA,NA,"Barents and Norwegian Seas to Spitsbergen, Iceland, Faroe Islands, Greenland, south along east coast of North America to southern Newfoundland, and as far northward as 80°38'N north of Spitsbergen",surface-1700m,,,,
Anarhichas orientalis,NA,NA,"Seas of Japan and Okhotsk, Pacific Ocean off northern Honshu and Hokkaido, south-eastern Kamchatka, and western Gulf of Alaska (Prince William Sound) to Bering, Chukchi, and Beaufort Seas, and eastward to Bathhurst Inlet, and western Coppermine Gulf, Nunavut",intertidal-110m,,,,
Anarrhichthys ocellatus,31°41'N,116°42'W,"South-eastern Bering Sea east to Cape Menshikof, west along Aleutian Islands to Krenitzin Islands, and Gulf of Alaska to northern Baja California",intertidal-417m,,,,
Ptilichthys goodei,57°54'N,169°40'W,"Seas of Japan and Okhotsk to Litke Strait, and Commander and Aleutian Islands, and Bering Sea to central Oregon",surface-360m,,,,
Zaprora silenus,67°32'N,165°54'W,"Hokkaido, Japan and Sea of Okhotsk, Kuril Islands, Commander-Aleutian Islands to Bering Sea to eastern Chukchi Sea (west of Kivalina) to San Miguel Island, southern California",0-801m,,,,
Scytalina cerdale,NA,NA,"Western Aleutian Islands to Diablo Cove, central California",intertidal-8m,,,,
Chiasmodon niger,47°33'N,125°19'W,"Eastern Pacific, from to west coast of North, Central, and northern South America",183-4568m,,,,
Dysalotus oligoscolus,NA,NA,"Circumglobal in temperate to tropical waters; western Pacific Ocean north to south-eastern Kyushu, Japan; southern California to Gulf of California",1262-4835m,,,,
Kali falx,28°20.9'N,116°21.6'W,Worldwide in northern hemisphere; central Baja California,1300-2870m,,,,
Kali indica,NA,NA,"Circumglobal; western Pacific Ocean north to northern Honshu, Japan; eastern Bering Sea and off north-western Vancouver Island, southern British Columbia to central Baja California",200-4465m,,,,
Kali macrodon,NA,NA,Circumglobal; southern Baja California,800-3700m,,,,
Kali macrura,NA,NA,"Circumglobal; southern California to Baja California, and near mouth of Gulf of California",600-2750m,,,,
Pseudoscopelus lavenbergi,NA,NA,"San Clemente Island, southern California to Chile",200-3000m,,,,
Arctoscopus japonicus,NA,NA,"Yellow Sea and Sea of Japan off Korea to Sea of Okhotsk, Kuril Islands, and Pacific coast of Hokkaido; one record from Akutan Bay, Aleutian Islands",0-550m,,,,
Trichodon trichodon,NA,NA,"Japan to Kuril Islands (rarely), south-eastern Kamchatka, and Commander–Aleutian chain to south-eastern Bering Sea, including Pribilof Islands to San Francisco, northern California",intertidal-375m,,,,
Ammodytes dubius,NA,NA,Perhaps as far westward as Canadian Beaufort Sea and eastward to Greenland and southward in North America to North Carolina,0-274m,,,,
Ammodytes hexapterus,NA,NA,"East Siberian, Chukchi, and Beaufort Seas eastward to Hudson and Ungava Bays, southward through eastern Bering Sea to Unimak Pass, and western Bering Sea to south-eastern Kamchatka and Sea of Okhotsk",intertidal-275m,,,,
Ammodytes personatus,NA,NA,"Norton Sound, eastern Bering Sea to Attu Island, Aleutian Islands, to Balboa Island, southern California; May range to Sea of Okhotsk",intertidal-272m,,,,
Ammodytoides gilli,23°24.6'N,110°13.8'W,"Todos Santos area, southern Baja California; Cabo San Lucas, southern Baja California, and central Mexico to Ecuador, including Islas Galápagos",1-25m,,,,
Astroscopus zephyreus,NA,NA,"Huntington Beach, southern California to Chimbote, Peru, including Gulf of California",surface-385m,,,,
Kathetostoma averruncus,NA,NA,"Northern Monterey Bay, central California to Isla Lobos de Tierra, Peru, including mouth of Gulf of California, and Islas Galápagos",13-600m,,,,
Axoclinus nigricaudus,NA,NA,"Gulf of California to Cabo San Lucas, southern Baja California",intertidal-6m,,,,
